Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Albania,2002,Developing,73.3,15.0,1,3.73,104.5169157,96.0,16,0.469,1,98.0,6.3,98.0,0.1,14.53642777,35.11,2.0,2.1,0.67,10.7
Albania,2001,Developing,73.6,14.0,1,4.25,96.20557078,96.0,18,0.46,1,97.0,6.0,97.0,0.1,13.269733900000002,36.173,2.1,2.1,0.662,10.6
Albania,2000,Developing,72.6,11.0,1,3.66,91.71154052,96.0,662,0.45,1,97.0,6.26,97.0,0.1,11.75788981,38.927,2.1,2.2,0.656,10.7
Algeria,2015,Developing,75.6,19.0,21,,0.0,95.0,63,0.595,24,95.0,,95.0,0.1,41.3276292,39.871528,6.0,5.8,0.743,14.4
Algeria,2014,Developing,75.4,11.0,21,0.01,54.2373183,95.0,0,0.584,24,95.0,7.21,95.0,0.1,54.78517000000001,39.113313,6.0,5.8,0.741,14.4
Algeria,2013,Developing,75.3,112.0,21,0.53,544.4507432,95.0,25,0.5720000000000001,24,95.0,7.12,95.0,0.1,54.71866766,38.338562,5.9,5.8,0.737,14.4
Algeria,2012,Developing,75.1,113.0,21,0.66,555.9260834,95.0,18,0.561,24,95.0,6.14,95.0,0.1,55.6482566,37.565847,5.9,5.8,0.732,14.4
Algeria,2011,Developing,74.9,116.0,21,0.56,509.0020405,95.0,112,0.55,24,95.0,5.29,95.0,0.1,54.322523,36.819558,5.9,5.8,0.724,14.0
Algeria,2010,Developing,74.7,119.0,21,0.45,430.7175861,95.0,103,0.539,24,95.0,5.12,95.0,0.1,44.63394675,36.117637,5.9,5.8,0.714,13.6
Algeria,2009,Developing,74.4,123.0,20,0.5,352.0636419,94.0,107,0.528,23,94.0,5.36,95.0,0.1,38.6883123,35.46576,6.0,5.9,0.705,13.1
Algeria,2008,Developing,74.1,126.0,20,0.46,43.08717334,91.0,217,0.518,23,92.0,4.2,93.0,0.1,49.5254866,34.86715,6.0,5.9,0.697,12.6
Algeria,2007,Developing,73.8,129.0,20,0.44,320.3239241,9.0,0,0.58,23,95.0,3.82,95.0,0.1,39.35183343,34.376,6.0,5.9,0.69,12.3
Algeria,2006,Developing,73.4,132.0,20,0.36,270.2401962,8.0,944,0.498,23,95.0,3.36,95.0,0.1,34.646179000000004,33.777915,6.1,6.0,0.686,12.3
Algeria,2005,Developing,72.9,136.0,19,0.5,2.548922758,83.0,2302,0.489,22,88.0,3.24,88.0,0.1,31.122378,33.288437,6.1,6.0,0.68,12.0
Algeria,2004,Developing,72.3,14.0,19,0.45,220.393699,81.0,3289,0.479,23,86.0,3.54,86.0,0.1,25.989823,32.83196,6.2,6.1,0.673,11.7
Algeria,2003,Developing,71.7,146.0,20,0.34,25.0185226,,15374,0.47,23,87.0,3.6,87.0,0.1,29.433556,32.435140000000004,6.3,6.1,0.663,11.5
Algeria,2002,Developing,71.6,145.0,20,0.36,148.5119843,,5862,0.461,23,86.0,3.73,86.0,0.1,17.7433673,31.99546,6.3,6.2,0.653,11.1
Algeria,2001,Developing,71.4,145.0,20,0.23,147.9860714,,2686,0.4529999999999999,24,89.0,3.84,89.0,0.1,17.32857979,31.592153,6.4,6.3,0.644,10.9
Algeria,2000,Developing,71.3,145.0,21,0.25,154.4559436,,0,0.444,25,86.0,3.49,86.0,0.1,17.5717797,31.183660000000003,6.5,6.4,0.636,10.7
Angola,2015,Developing,52.4,335.0,66,,0.0,64.0,118,0.233,98,7.0,,64.0,1.9,36.95793748,27.859350000000003,8.3,8.2,0.531,11.4
Angola,2014,Developing,51.7,348.0,67,8.33,23.965612,64.0,11699,0.227,101,68.0,3.31,64.0,2.0,47.931224,26.924660000000003,8.5,8.3,0.527,11.4
Angola,2013,Developing,51.1,355.0,69,8.1,35.95857279,77.0,8523,0.221,105,67.0,4.26,77.0,2.3,48.46168840000001,25.99834,8.6,8.5,0.523,11.4
Angola,2012,Developing,56.0,358.0,72,8.24,256.1225243,75.0,4458,0.215,110,75.0,3.3,75.0,2.6,45.98249988,25.9615,8.8,8.6,0.508,10.3
Angola,2011,Developing,51.0,361.0,75,8.06,239.8913921,72.0,1449,0.21,115,73.0,3.38,71.0,2.5,42.9912889,24.218565,8.9,8.8,0.495,9.4
Angola,2010,Developing,49.6,365.0,78,7.8,191.6537407,77.0,1190,0.24,121,81.0,3.39,77.0,2.5,35.2953482,23.369131,9.1,9.0,0.488,9.0
Angola,2009,Developing,49.1,369.0,81,7.01,212.9229325,61.0,2807,0.198,127,63.0,4.37,6.0,2.5,33.4784485,22.549547,9.3,9.2,0.48,8.5
Angola,2008,Developing,48.7,371.0,84,7.07,249.9101958,69.0,265,0.193,133,65.0,3.84,69.0,2.6,38.68578883,21.75942,9.5,9.4,0.468,8.1
Angola,2007,Developing,48.2,375.0,87,6.35,184.8213446,73.0,1014,0.188,138,75.0,3.38,73.0,2.6,28.78837144,29.97687,9.6,9.6,0.454,7.7
Angola,2006,Developing,47.7,381.0,90,5.84,25.08688824,,765,0.182,143,36.0,4.54,34.0,2.5,26.2415149,22.623990000000003,9.8,9.7,0.439,7.2
Angola,2005,Developing,47.4,382.0,92,5.04,98.19145117,,258,0.177,148,39.0,4.1,38.0,2.6,14.43991929,19.552542,1.0,9.9,0.426,6.8
Angola,2004,Developing,47.1,386.0,94,3.53,8.8667775,,29,0.172,152,4.0,4.71,4.0,2.5,14.186844,18.865716,1.2,1.1,0.415,6.4
Angola,2003,Developing,46.8,388.0,95,3.49,35.93349121,,1196,0.168,155,4.0,4.41,4.0,2.4,77.9468356,18.233690000000003,1.4,1.3,0.406,5.9
Angola,2002,Developing,46.5,391.0,96,2.82,24.037942,,11945,0.163,157,37.0,3.63,41.0,2.3,71.11817160000001,17.572649,1.5,1.5,0.401,5.5
Angola,2001,Developing,45.7,44.0,97,2.58,30.35993647,,9046,0.158,159,41.0,5.38,38.0,2.1,52.6168743,16.983266,1.7,1.7,0.391,5.1
Angola,2000,Developing,45.3,48.0,97,1.85,15.88149254,,2219,0.154,160,3.0,2.79,28.0,2.0,55.52969419,16.44924,1.9,1.9,0.382,4.6
Antigua and Barbuda,2015,Developing,76.4,13.0,0,,0.0,99.0,0,0.477,0,86.0,,99.0,0.2,13.5669541,,3.3,3.3,0.784,13.9
Antigua and Barbuda,2014,Developing,76.2,131.0,0,8.56,2422.999774,99.0,0,0.47,0,96.0,5.54,99.0,0.2,12.88829667,,3.3,3.3,0.782,13.9
Antigua and Barbuda,2013,Developing,76.1,133.0,0,8.58,1991.430372,99.0,0,0.4639999999999999,0,98.0,5.33,99.0,0.2,12.22486416,,3.3,3.3,0.781,13.9
Antigua and Barbuda,2012,Developing,75.9,134.0,0,8.18,2156.229842,98.0,0,0.457,0,97.0,5.39,98.0,0.2,12.56544197,,3.3,3.3,0.778,13.8
Antigua and Barbuda,2011,Developing,75.7,136.0,0,7.84,1810.875316,99.0,0,0.451,0,99.0,5.65,99.0,0.1,11.92934991,,3.3,3.3,0.782,14.1
Antigua and Barbuda,2010,Developing,75.6,138.0,0,7.84,1983.956937,98.0,0,0.444,0,99.0,5.63,98.0,0.1,12.12687614,,3.3,3.3,0.783,14.1
Antigua and Barbuda,2009,Developing,75.4,14.0,0,7.82,149.3587355,98.0,0,0.438,0,98.0,4.86,99.0,0.1,13.1246692,,3.4,3.3,0.788,14.2
Antigua and Barbuda,2008,Developing,75.2,142.0,0,8.27,180.7762695,98.0,0,0.432,0,99.0,4.69,99.0,0.1,14.7331923,,3.4,3.3,0.786,14.4
Antigua and Barbuda,2007,Developing,75.0,144.0,0,8.64,257.9665308,97.0,0,0.426,0,98.0,4.27,99.0,0.1,14.25229452,,3.4,3.3,0.781,14.5
Antigua and Barbuda,2006,Developing,74.8,145.0,0,8.93,216.3146941,99.0,0,0.42,0,99.0,4.34,99.0,0.1,12.72439377,,3.4,3.4,0.773,14.7
Antigua and Barbuda,2005,Developing,74.6,147.0,0,8.15,1455.608186,99.0,0,0.414,0,98.0,4.41,99.0,0.1,11.37193895,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2004,Developing,74.4,149.0,0,7.28,22.86295206,97.0,0,0.48,0,97.0,4.21,97.0,0.1,13.528374,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2003,Developing,74.2,151.0,0,7.16,1158.065259,99.0,0,0.41,0,99.0,4.53,99.0,0.1,97.3982556,,3.5,3.5,0.0,0.0
Antigua and Barbuda,2002,Developing,74.0,153.0,0,7.21,927.4075855,99.0,0,0.395,0,93.0,4.41,98.0,0.1,93.86716452,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2001,Developing,73.8,154.0,0,7.51,163.7676978,96.0,0,0.389,0,99.0,4.48,97.0,0.1,93.58154162,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2000,Developing,73.6,156.0,0,7.27,1127.74347,,0,0.382,0,96.0,4.13,95.0,0.1,98.75161736,,3.7,3.6,0.0,0.0
Argentina,2015,Developing,76.3,116.0,8,,0.0,94.0,0,0.628,9,93.0,,94.0,0.1,13.4671236,43.417765,1.0,0.9,0.826,17.3
Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717463,94.0,1,0.622,9,92.0,4.79,94.0,0.1,12.24525645,42.981515,1.0,0.9,0.825,17.3
Argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,0.616,10,99.0,4.99,94.0,0.1,12.97663642,42.539925,1.0,0.9,0.823,17.3
Argentina,2012,Developing,75.9,12.0,9,8.35,1133.558003,91.0,2,0.61,10,99.0,5.2,91.0,0.1,12.9697712,42.96739,1.0,0.9,0.822,17.2
Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,0.6400000000000001,10,93.0,5.89,91.0,0.1,12.7269836,41.656879,1.0,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121.0,10,8.15,187.610955,94.0,17,0.598,11,95.0,6.55,94.0,0.1,12.76265,41.223889,1.0,0.9,0.802,16.8
Argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,0.5920000000000001,11,97.0,7.63,94.0,0.1,81.61369660000001,47.9947,1.0,0.9,0.794,16.5
Argentina,2008,Developing,75.4,126.0,10,8.41,1413.73543,9.0,0,0.5860000000000001,11,94.0,6.66,93.0,0.1,89.53359275000001,43.823890000000006,1.0,0.9,0.792,16.3
Argentina,2007,Developing,74.8,129.0,10,8.16,1105.659031,85.0,0,0.58,12,92.0,6.49,91.0,0.1,71.93617640000001,39.972240000000006,1.1,0.9,0.788,16.3
Argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,0.5750000000000001,12,92.0,6.68,91.0,0.1,58.7876127,39.558890000000005,1.1,0.9,0.782,16.1
Argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,0.569,12,95.0,6.85,98.0,0.1,57.6883829,39.145488,1.1,1.0,0.78,16.3
Argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,0.563,12,91.0,6.84,98.0,0.1,42.515743480000005,38.728696,1.1,1.0,0.775,16.3
Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,0.557,13,95.0,8.22,96.0,0.1,33.34376,38.39379,1.2,1.0,0.77,16.4
Argentina,2002,Developing,74.1,138.0,12,7.81,470.1869145,66.0,0,0.551,13,94.0,8.31,93.0,0.1,25.79193168,37.88937,1.2,1.0,0.776,16.3
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,,0,0.546,13,85.0,9.38,83.0,0.1,71.7694674,37.471590000000006,1.2,1.1,0.771,15.6
Argentina,2000,Developing,74.1,137.0,12,7.68,1349.025282,,6,0.54,14,88.0,9.21,83.0,0.1,76.69273916,37.57452,1.2,1.1,0.764,15.0
Armenia,2015,Developing,74.8,118.0,1,,0.0,94.0,33,0.549,1,96.0,,94.0,0.1,36.96547760000001,29.169500000000003,2.1,2.2,0.741,12.7
Armenia,2014,Developing,74.6,12.0,1,3.91,295.6087143,93.0,13,0.541,1,95.0,4.48,93.0,0.1,39.94712355,29.622,2.1,2.1,0.739,12.7
Armenia,2013,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,0.533,1,96.0,4.55,95.0,0.1,38.435912130000006,28.9359,2.1,2.1,0.736,12.7
Armenia,2012,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,0.526,1,96.0,4.48,95.0,0.1,36.848481,28.81922,2.0,2.1,0.732,12.7
Armenia,2011,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,0.519,1,96.0,3.71,95.0,0.1,35.26978143,28.755810000000004,2.0,2.1,0.729,12.7
Armenia,2010,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,0.512,1,96.0,4.56,94.0,0.1,32.18381655,28.773110000000003,2.0,2.1,0.72,12.3
Armenia,2009,Developing,73.3,137.0,1,3.96,201.1855461,93.0,0,0.5700000000000001,1,94.0,4.55,93.0,0.1,29.93832531,28.88584,2.0,2.1,0.725,11.9
Armenia,2008,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,0.51,1,91.0,3.8,89.0,0.1,41.26997,29.822,2.0,2.1,0.721,12.3
Armenia,2007,Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,0.497,1,9.0,4.31,88.0,0.1,31.388873,29.335600000000003,2.0,2.1,0.707,11.7
Armenia,2006,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,0.492,1,87.0,4.58,87.0,0.1,21.58299,29.585,2.0,2.1,0.692,11.2
Armenia,2005,Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,0.488,1,92.0,5.25,9.0,0.1,16.437583970000002,29.812590000000004,2.0,2.1,0.679,10.9
Armenia,2004,Developing,73.0,132.0,1,3.81,97.74087744,91.0,1783,0.484,1,93.0,5.5,91.0,0.1,11.9196192,36.12,2.0,2.1,0.668,10.9
Armenia,2003,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,0.481,1,96.0,5.56,94.0,0.1,93.1661567,31.786,2.0,2.1,0.657,10.8
Armenia,2002,Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,0.478,1,96.0,5.4,94.0,0.1,78.32616990000001,33.389700000000005,2.1,2.1,0.645,10.8
Armenia,2001,Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,0.474,1,97.0,5.94,94.0,0.1,69.4435119,35.655,2.1,2.1,0.644,11.1
Armenia,2000,Developing,72.0,142.0,1,2.9,32.75626853,55.0,15,0.471,1,96.0,6.25,93.0,0.1,62.274274770000005,36.9588,2.1,2.2,0.639,11.2
Australia,2015,Developed,82.8,59.0,1,,0.0,93.0,74,0.6659999999999999,1,93.0,,93.0,0.1,56.554387600000005,23.789338,0.6,0.6,0.937,20.4
Australia,2014,Developed,82.7,6.0,1,9.71,10769.36305,91.0,340,0.6609999999999999,1,92.0,9.42,92.0,0.1,62.2146912,23.46694,0.6,0.6,0.936,20.4
Australia,2013,Developed,82.5,61.0,1,9.87,11734.85381,91.0,158,0.655,1,91.0,9.36,91.0,0.1,67.79233860000001,23.117353,0.6,0.6,0.933,20.3
Australia,2012,Developed,82.3,61.0,1,10.03,11714.99858,91.0,199,0.65,1,92.0,9.36,92.0,0.1,67.67763477000001,22.728254,0.6,0.6,0.93,20.1
Australia,2011,Developed,82.0,63.0,1,10.3,10986.26527,92.0,190,0.644,1,92.0,9.2,92.0,0.1,62.245129,22.3424,0.6,0.6,0.927,19.8
Australia,2010,Developed,81.9,64.0,1,10.52,8875.786493,92.0,70,0.639,1,92.0,9.2,92.0,0.1,51.874848,22.317500000000003,0.7,0.6,0.927,19.5
Australia,2009,Developed,81.7,66.0,1,10.62,7172.275229,94.0,104,0.634,1,92.0,9.5,92.0,0.1,42.74299898,21.6917,0.7,0.6,0.925,19.1
Australia,2008,Developed,81.3,66.0,1,10.76,8547.292357,94.0,65,0.629,1,92.0,8.78,92.0,0.1,49.6646854,21.2492,0.7,0.6,0.921,19.1
Australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,0.625,2,92.0,8.53,92.0,0.1,49.919828900000006,28.276,0.7,0.6,0.918,19.0
Australia,2006,Developed,81.2,66.0,1,10.31,6187.062017,95.0,0,0.62,2,92.0,8.49,92.0,0.1,36.11828381,26.979,0.7,0.6,0.915,20.3
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,0.615,2,92.0,8.45,92.0,0.1,34.1671483,23.948,0.7,0.6,0.91,20.3
Australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,0.6900000000000001,1,92.0,8.57,92.0,0.1,34.7237977,21.274,0.7,0.6,0.908,20.7
Australia,2003,Developed,83.0,71.0,1,9.97,3829.550928,95.0,91,0.63,1,92.0,8.32,93.0,0.1,23.465385590000004,19.8954,0.7,0.7,0.905,20.6
Australia,2002,Developed,79.9,73.0,1,9.84,46.3871819,95.0,32,0.596,2,92.0,8.39,92.0,0.1,28.181763000000004,19.6514,0.7,0.7,0.902,20.1
Australia,2001,Developed,79.9,75.0,1,9.53,3064.301144,94.0,141,0.59,2,91.0,8.18,92.0,0.1,19.51784168,19.413,0.7,0.7,0.899,20.5
Australia,2000,Developed,79.5,78.0,1,10.17,347.18736,,108,0.5820000000000001,2,9.0,8.8,9.0,0.1,21.69921,19.153,0.7,0.7,0.897,20.4
Austria,2015,Developed,81.5,65.0,0,,0.0,93.0,309,0.5760000000000001,0,93.0,,93.0,0.1,4.3665947,8.633168999999999,1.9,2.1,0.892,15.9
Austria,2014,Developed,81.4,66.0,0,12.32,8350.193523,98.0,117,0.5710000000000001,0,98.0,11.21,98.0,0.1,5.132263997,8.541575,1.8,2.0,0.892,15.9
Austria,2013,Developed,81.1,68.0,0,11.82,90.58501176,95.0,0,0.5660000000000001,0,95.0,11.14,95.0,0.1,5.5471532,8.479375,1.8,2.0,0.887,15.7
Austria,2012,Developed,88.0,7.0,0,12.26,7878.372355,92.0,36,0.561,0,92.0,11.17,92.0,0.1,4.833357273,8.429991,1.8,2.0,0.884,15.7
Austria,2011,Developed,88.0,73.0,0,12.04,8272.306757,89.0,68,0.557,0,89.0,1.94,89.0,0.1,5.112674139,8.391643,1.7,2.0,0.88,15.7
Austria,2010,Developed,84.0,75.0,0,12.1,7423.228774,86.0,52,0.552,0,86.0,11.17,86.0,0.1,4.665762900000001,8.36344,1.7,1.9,0.872,15.4
Austria,2009,Developed,82.0,77.0,0,11.3,8053.557638,83.0,49,0.547,0,83.0,11.19,83.0,0.1,4.765418721,8.343323,1.7,1.9,0.87,15.3
Austria,2008,Developed,84.0,76.0,0,12.0,8329.731655,83.0,448,0.542,0,83.0,1.6,83.0,0.1,5.138637665,8.321496,1.7,1.9,0.864,15.1
Austria,2007,Developed,81.0,8.0,0,12.5,7453.8644,85.0,20,0.537,0,85.0,1.4,85.0,0.1,4.65866525,8.295487,1.7,1.9,0.86,15.2
Austria,2006,Developed,79.8,81.0,0,12.4,69.92899358,83.0,23,0.532,0,83.0,1.35,83.0,0.1,4.4399361,8.268640999999999,1.7,1.9,0.854,15.0
Austria,2005,Developed,79.4,85.0,0,12.4,5992.588029,86.0,9,0.527,0,86.0,1.53,86.0,0.1,3.82424252,8.227829,1.7,1.9,0.848,14.9
Austria,2004,Developed,79.3,86.0,0,12.1,5316.877456,83.0,15,0.522,0,83.0,1.56,83.0,0.1,3.669342620000001,8.171966,1.7,1.9,0.841,14.7
Austria,2003,Developed,78.8,88.0,0,12.2,504.4308735,83.0,90,0.517,0,84.0,1.48,84.0,0.1,3.2129355,8.121423,1.7,1.9,0.837,14.7
Austria,2002,Developed,78.7,9.0,0,12.5,3979.057728,81.0,0,0.512,0,82.0,1.27,83.0,0.1,2.635137568,8.81957,1.7,1.9,0.847,16.1
Austria,2001,Developed,78.6,92.0,0,12.4,3582.848308,44.0,0,0.5599999999999999,0,83.0,1.12,84.0,0.1,2.448973553,8.422930000000001,1.7,1.9,0.837,15.5
Austria,2000,Developed,78.1,96.0,0,13.2,3557.455507,33.0,0,0.51,0,71.0,1.6,81.0,0.1,2.451726745,8.11566,1.7,1.9,0.833,15.4
Azerbaijan,2015,Developing,72.7,118.0,5,,0.0,96.0,0,0.525,6,98.0,,96.0,0.1,55.31382,96.49341,2.8,2.9,0.758,12.7
Azerbaijan,2014,Developing,72.5,119.0,5,0.01,306.1824313,94.0,0,0.515,6,97.0,6.4,94.0,0.1,78.91299776,95.3579,2.8,2.9,0.752,12.2
Azerbaijan,2013,Developing,72.2,121.0,5,2.14,275.6514934,93.0,164,0.5599999999999999,6,96.0,5.54,93.0,0.1,78.75756953,94.1681,2.8,2.8,0.745,11.9
Azerbaijan,2012,Developing,71.9,123.0,5,0.01,285.6103912,88.0,0,0.497,6,92.0,5.37,89.0,0.1,74.96335728,92.95784,2.8,2.8,0.742,11.8
Azerbaijan,2011,Developing,71.6,125.0,5,1.98,263.142699,84.0,0,0.488,6,91.0,5.1,87.0,0.1,71.89691229,91.7382,2.8,2.9,0.741,11.7
Azerbaijan,2010,Developing,71.1,13.0,5,1.98,246.5686008,8.0,0,0.48,6,85.0,5.33,81.0,0.1,58.4285784,95.4332,2.8,2.9,0.737,11.7
Azerbaijan,2009,Developing,78.0,132.0,6,2.1,22.48638351,74.0,0,0.473,6,84.0,5.85,81.0,0.1,49.5294791,89.47243,2.8,2.9,0.728,11.6
Azerbaijan,2008,Developing,73.0,141.0,6,1.18,206.2616134,68.0,5,0.466,6,85.0,4.37,81.0,0.1,55.746382,87.634,2.8,2.9,0.719,11.6
Azerbaijan,2007,Developing,73.0,14.0,6,1.02,176.0107106,62.0,0,0.459,7,81.0,5.1,79.0,0.1,38.51437869,85.813,2.8,2.9,0.708,11.6
Azerbaijan,2006,Developing,69.2,154.0,6,0.85,105.6337264,52.0,222,0.4529999999999999,7,8.0,6.17,78.0,0.1,24.7385776,84.8455,2.9,2.9,0.682,10.7
Azerbaijan,2005,Developing,68.4,162.0,6,0.73,81.28883085,49.0,1238,0.447,7,79.0,7.86,75.0,0.1,15.784239,83.91850000000001,2.9,3.0,0.675,11.2
Azerbaijan,2004,Developing,68.4,154.0,6,0.62,8.59680496,5.0,827,0.442,8,78.0,7.92,77.0,0.1,14.52163,83.65,3.0,3.0,0.668,11.0
